OBJECTID;Id da Instalação;Nome;Id Agente Principal;Agente Principal;Data Prevista;Data Prevista;Data Entrada;Data Entrada,x,y
97;BAJCR ;SUB JACARACANGA                                    BA       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;;;01/06/2000;02/06/2000,-38.48444440199995,-12.69305559999998
98;BAJGR ;SUB JAGUARARI-SE                                   BA       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;;;01/06/2000;02/06/2000,-39.96666700399999,-9.850000002000002
99;BAJZD ;SUB JUAZEIRO II                                    BA       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;;;01/06/2000;02/06/2000,-40.477222203999986,-9.479972205999957
100;BAJZS ;SUB JUAZEIRO SOLAR                                 BA       ;JSI;Central Fotovoltaica Juazeiro Solar I SPE Ltda                 ;29/11/2018;30/11/2018;11/12/2018;12/12/2018,-40.488999999999976,-9.533300005000001
101;BAJZT ;SUB JUAZEIRO DA BAHIA III                          BA       ;ODO;ARGO V TRANSMISSAO DE ENERGIA S.A                              ;20/12/2016;21/12/2016;03/09/2016;04/09/2016,-40.48122100499995,-9.47123200499999
102;BALAL ;SUB LICINIO DE ALMEIDA                             BA       ;ODA;Centrais Eólicas Licínio de Almeida SA                         ;29/03/2013;30/03/2013;03/07/2014;04/07/2014,-42.640231005999965,-14.183517999999992
103;BAMOR ;SUB MORRAO                                         BA       ;MOO;Centrais Elétricas Morrão SA                                   ;30/10/2014;31/10/2014;10/10/2014;11/10/2014,-42.681442000000004,-14.128731004999963
104;BAMPD ;SUB MORRO DO CHAPEU II                             BA       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;30/08/2017;31/08/2017;31/07/2017;01/08/2017,-41.350884004999955,-11.723876007000001
105;BAMTT ;SUB MATATU                                         BA       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;;;01/06/2000;02/06/2000,-38.48444440199995,-12.97555560699999
106;BANRD ;SUB NARANDIBA                                      BA       ;NRD;SE NARANDIBA S.A.                                              ;29/06/2011;30/06/2011;05/06/2011;06/06/2011,-38.445330001,-12.953720406000002
107;BANSC ;SUB NOSSA SENHORA DA CONCEICAO                     BA       ;NSC;Centrais Eólicas Nossa Senhora da Conceição SA                 ;29/03/2014;30/03/2014;03/07/2014;04/07/2014,-42.66591300099998,-13.886154003999991
108;BAOLD ;SUB OLINDINA                                       BA       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;;;01/06/2000;02/06/2000,-38.38640000699996,-11.316100001999985
109;BAOUR ;SUB OUROLANDIA II                                  BA       ;JMM;TRANSMISSORA JOSE MARIA DE MACEDO DE ELETRICIDADE S.A.         ;26/03/2018;27/03/2018;03/05/2018;04/05/2018,-41.254033006999975,-10.798733003999985
110;BAPAF ;SUB PAULO AFONSO III                               BA       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;;;01/06/2000;02/06/2000,-38.197800003,-9.402200005999987
111;BAPAQ ;SUB SE PAULO  AFONSO IV                            BA       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;;;01/06/2000;02/06/2000,-38.19777779999998,-9.412500002000002
112;BAPEL ;SUB PELOURINHO                                     BA       ;NOO;Centrais Eólicas Pelourinho Ltda                               ;29/11/2015;30/11/2015;31/12/2015;01/01/2016,-42.58838700499996,-14.50929300499996
113;BAPLO ;SUB POLO                                           BA       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;30/07/2009;31/07/2009;07/02/2009;08/02/2009,-38.273905999999954,-12.662964001999967
114;BAPND ;SUB PINDAI II                                      BA       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;24/10/2015;25/10/2015;14/11/2015;15/11/2015,-42.60776700099996,-14.415433004999954
115;BAPNT ;SUB PLANALTINA                                     BA       ;PTA;Centrais Eólicas Planaltina SA                                 ;29/03/2014;30/03/2014;03/07/2014;04/07/2014,-42.63900600399995,-13.997313000999952
116;BAPOD ;SUB POCOES II                                      BA       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;28/10/2019;29/10/2019;26/10/2019;27/10/2019,-40.37510300399998,-14.517532005999954
